from,to,time
event19,event3,80
event20,event3,50
event21,event3,45
event22,event3,46
event23,event3,43
event24,event3,40
event25,event3,41
event26,event3,8
event27,event3,5
event28,event3,75
event29,event3,69
event30,event3,68
event31,event3,46
event32,event3,25
event33,event3,42
event34,event3,21
event35,event3,52
event36,event3,55
event37,event3,54
event38,event3,59
event39,event3,49
event40,event3,55
event41,event3,20
event42,event3,49
event43,event3,62
event44,event3,70
event45,event3,51
event46,event3,19
event47,event3,87
event48,event3,55
event49,event3,25
event0,event4,46
event1,event4,50
event2,event4,40
event3,event4,40
event4,event4,0
event5,event4,5
event6,event4,5
event7,event4,10
event8,event4,11
event9,event4,11
event10,event4,40
event11,event4,37
event12,event4,41
event13,event4,34
event14,event4,85
event15,event4,85
event16,event4,80
event17,event4,78
event18,event4,77
event19,event4,75
event20,event4,74
event21,event4,67
event22,event4,70
event23,event4,62
event24,event4,63
event25,event4,67
event26,event4,48
event27,event4,45
event28,event4,43
event29,event4,62
event30,event4,47
event31,event4,15
event32,event4,18
event33,event4,51
event34,event4,32
event35,event4,22
event36,event4,15
event37,event4,35
event38,event4,54
event39,event4,60
event40,event4,18
event41,event4,21
event42,event4,27
event43,event4,47
event44,event4,54
event45,event4,11
event46,event4,26
event47,event4,64
event48,event4,46
event49,event4,23
event0,event5,41
event1,event5,46
event2,event5,35
event3,event5,35
event4,event5,5
event5,event5,0
event6,event5,2
event7,event5,5
event8,event5,7
event9,event5,10
event10,event5,43
event11,event5,40
event12,event5,44
event13,event5,37
event14,event5,85
event15,event5,85
event16,event5,80
event17,event5,78
event18,event5,77
event19,event5,75
event20,event5,71
event21,event5,64
event22,event5,67
event23,event5,59
event24,event5,60
event25,event5,63
event26,event5,43
event27,event5,40
event28,event5,47
event29,event5,62
event30,event5,49
event31,event5,18
event32,event5,14
event33,event5,49
event34,event5,28
event35,event5,25
event36,event5,20
event37,event5,36
event38,event5,54
event39,event5,58
event40,event5,22
event41,event5,16
event42,event5,28
event43,event5,48
event44,event5,55
event45,event5,16
event46,event5,22
event47,event5,66
event48,event5,46
event49,event5,20
event0,event6,41
event1,event6,46
event2,event6,36
event3,event6,35
event4,event6,5
event5,event6,2
event6,event6,0
event7,event6,5
event8,event6,5
event9,event6,8
event10,event6,45
event11,event6,42
event12,event6,46
event13,event6,39
event14,event6,87
event15,event6,87
event16,event6,82
event17,event6,80
event18,event6,79
event19,event6,77
event20,event6,72
event21,event6,65
event22,event6,68
event23,event6,61
event24,event6,61
event25,event6,65
event26,event6,43
event27,event6,41
event28,event6,48
event29,event6,64
event30,event6,51
event31,event6,19
event32,event6,15
event33,event6,51
event34,event6,29
event35,event6,26
event36,event6,20
event37,event6,38
event38,event6,56
event39,event6,60
event40,event6,23
event41,event6,16
event42,event6,30
event43,event6,50
event44,event6,57
event45,event6,16
event46,event6,24
event47,event6,68
event48,event6,48
event49,event6,21
event0,event7,37
event1,event7,41
event2,event7,31
event3,event7,30
event4,event7,10
event5,event7,5
event6,event7,5
event7,event7,0
event8,event7,3
event9,event7,9
event10,event7,48
event11,event7,45
event12,event7,50
event13,event7,42
event14,event7,88
event15,event7,87
event16,event7,82
event17,event7,80
event18,event7,80
event19,event7,77
event20,event7,69
event21,event7,62
event22,event7,65
event23,event7,58
event24,event7,58
event25,event7,61
event26,event7,38
event27,event7,36
event28,event7,52
event29,event7,64
event30,event7,53
event31,event7,22
event32,event7,13
event33,event7,49
event34,event7,26
event35,event7,29
event36,event7,25
event37,event7,39
event38,event7,56
event39,event7,58
event40,event7,27
event41,event7,11
event42,event7,32
event43,event7,51
event44,event7,59
event45,event7,21
event46,event7,20
event47,event7,71
event48,event7,48
event49,event7,19
event0,event8,38
event1,event8,42
event2,event8,32
event3,event8,31
event4,event8,11
event5,event8,7
event6,event8,5
event7,event8,3
event8,event8,0
event9,event8,7
event10,event8,50
event11,event8,47
event12,event8,51
event13,event8,44
event14,event8,91
event15,event8,90
event16,event8,85
event17,event8,83
event18,event8,83
event19,event8,80
event20,event8,72
event21,event8,65
event22,event8,68
event23,event8,60
event24,event8,61
event25,event8,64
event26,event8,39
event27,event8,37
event28,event8,54
event29,event8,67
event30,event8,55
event31,event8,25
event32,event8,15
event33,event8,52
event34,event8,29
event35,event8,32
event36,event8,25
event37,event8,42
event38,event8,59
event39,event8,61
event40,event8,29
event41,event8,11
event42,event8,34
event43,event8,54
event44,event8,62
event45,event8,22
event46,event8,23
event47,event8,73
event48,event8,51
event49,event8,22
event0,event9,44
event1,event9,49
event2,event9,39
event3,event9,38
event4,event9,11
event5,event9,10
event6,event9,8
event7,event9,9
event8,event9,7
event9,event9,0
event10,event9,51
event11,event9,48
event12,event9,51
event13,event9,45
event14,event9,95
event15,event9,95
event16,event9,90
event17,event9,88
event18,event9,87
event19,event9,85
event20,event9,79
event21,event9,72
event22,event9,75
event23,event9,67
event24,event9,68
event25,event9,71
event26,event9,46
event27,event9,43
event28,event9,54
event29,event9,72
event30,event9,58
event31,event9,26
event32,event9,22
event33,event9,58
event34,event9,36
event35,event9,33
event36,event9,22
event37,event9,46
event38,event9,64
event39,event9,67
event40,event9,28
event41,event9,17
event42,event9,38
event43,event9,58
event44,event9,65
event45,event9,20
event46,event9,30
event47,event9,75
event48,event9,56
event49,event9,28
event0,event10,73
event1,event10,78
event2,event10,69
event3,event10,70
event4,event10,40
event5,event10,43
event6,event10,45
event7,event10,48
event8,event10,50
event9,event10,51
event10,event10,0
event11,event10,5
event12,event10,6
event13,event10,6
event14,event10,56
event15,event10,58
event16,event10,54
event17,event10,52
event18,event10,49
event19,event10,49
event20,event10,78
event21,event10,72
event22,event10,77
event23,event10,66
event24,event10,71
event25,event10,76
event26,event10,75
event27,event10,74
event28,event10,5
event29,event10,39
event30,event10,16
event31,event10,26
event32,event10,45
event33,event10,51
event34,event10,51
event35,event10,19
event36,event10,33
event37,event10,20
event38,event10,38
event39,event10,58
event40,event10,24
event41,event10,57
event42,event10,21
event43,event10,24
event44,event10,24
event45,event10,33
event46,event10,51
event47,event10,25
event48,event10,30
event49,event10,44
event0,event11,68
event1,event11,73
event2,event11,64
event3,event11,65
event4,event11,37
event5,event11,40
event6,event11,42
event7,event11,45
event8,event11,47
event9,event11,48
event10,event11,5
event11,event11,0
event12,event11,10
event13,event11,4
event14,event11,55
event15,event11,56
event16,event11,52
event17,event11,50
event18,event11,47
event19,event11,47
event20,event11,73
event21,event11,67
event22,event11,72
event23,event11,62
event24,event11,66
event25,event11,71
event26,event11,70
event27,event11,69
event28,event11,10
event29,event11,36
event30,event11,13
event31,event11,22
event32,event11,41
event33,event11,46
event34,event11,46
event35,event11,15
event36,event11,32
event37,event11,15
event38,event11,34
event39,event11,54
event40,event11,22
event41,event11,53
event42,event11,16
event43,event11,20
event44,event11,22
event45,event11,31
event46,event11,46
event47,event11,26
event48,event11,26
event49,event11,40
event0,event12,77
event1,event12,82
event2,event12,72
event3,event12,73
event4,event12,41
event5,event12,44
event6,event12,46
event7,event12,50
event8,event12,51
event9,event12,51
event10,event12,6
event11,event12,10
event12,event12,0
event13,event12,10
event14,event12,62
event15,event12,64
event16,event12,60
event17,event12,58
event18,event12,55
event19,event12,55
event20,event12,84
event21,event12,78
event22,event12,82
event23,event12,72
event24,event12,76
event25,event12,81
event26,event12,79
event27,event12,77
event28,event12,4
event29,event12,45
event30,event12,22
event31,event12,28
event32,event12,48
event33,event12,57
event34,event12,55
event35,event12,21
event36,event12,31
event37,event12,25
event38,event12,45
event39,event12,65
event40,event12,23
event41,event12,59
event42,event12,26
event43,event12,30
event44,event12,30
event45,event12,32
event46,event12,54
event47,event12,29
event48,event12,36
event49,event12,48
event0,event13,67
event1,event13,72
event2,event13,63
event3,event13,64
event4,event13,34
event5,event13,37
event6,event13,39
event7,event13,42
event8,event13,44
event9,event13,45
event10,event13,6
event11,event13,4
event12,event13,10
event13,event13,0
event14,event13,58
event15,event13,60
event16,event13,55
event17,event13,53
event18,event13,51
event19,event13,51
event20,event13,75
event21,event13,68
event22,event13,73
event23,event13,63
event24,event13,67
event25,event13,72
event26,event13,69
event27,event13,68
event28,event13,10
event29,event13,39
event30,event13,17
event31,event13,19
event32,event13,39
event33,event13,48
event34,event13,45
event35,event13,12
event36,event13,28
event37,event13,16
event38,event13,37
event39,event13,55
event40,event13,18
event41,event13,50
event42,event13,16
event43,event13,23
event44,event13,26
event45,event13,27
event46,event13,45
event47,event13,30
event48,event13,28
event49,event13,38
event0,event14,90
event1,event14,93
event2,event14,89
event3,event14,91
event4,event14,85
event5,event14,85
event6,event14,87
event7,event14,88
event8,event14,91
event9,event14,95
event10,event14,56
event11,event14,55
event12,event14,62
event13,event14,58
event14,event14,0
event15,event14,5
event16,event14,7
event17,event14,8
event18,event14,8
event19,event14,11
event20,event14,62
event21,event14,61
event22,event14,65
event23,event14,58
event24,event14,64
event25,event14,68
event26,event14,91
event27,event14,91
event28,event14,58
event29,event14,23
event30,event14,41
event31,event14,70
event32,event14,77
event33,event14,50
event34,event14,71
event35,event14,65
event36,event14,85
event37,event14,50
event38,event14,33
event39,event14,47
event40,event14,75
event41,event14,90
event42,event14,58
event43,event14,38
event44,event14,32
event45,event14,83
event46,event14,76
event47,event14,37
event48,event14,39
event49,event14,72
event0,event15,87
event1,event15,90
event2,event15,86
event3,event15,89
event4,event15,85
event5,event15,85
event6,event15,87
event7,event15,87
event8,event15,90
event9,event15,95
event10,event15,58
event11,event15,56
event12,event15,64
event13,event15,60
event14,event15,5
event15,event15,0
event16,event15,5
event17,event15,7
event18,event15,9
event19,event15,10
event20,event15,58
event21,event15,57
event22,event15,61
event23,event15,54
event24,event15,60
event25,event15,64
event26,event15,88
event27,event15,89
event28,event15,60
event29,event15,23
event30,event15,42
event31,event15,70
event32,event15,76
event33,event15,47
event34,event15,69
event35,event15,65
event36,event15,86
event37,event15,50
event38,event15,31
event39,event15,43
event40,event15,76
event41,event15,89
event42,event15,58
event43,event15,38
event44,event15,34
event45,event15,83
event46,event15,74
event47,event15,41
event48,event15,39
event49,event15,71
event0,event16,83
event1,event16,86
event2,event16,82
event3,event16,85
event4,event16,80
event5,event16,80
event6,event16,82
event7,event16,82
event8,event16,85
event9,event16,90
event10,event16,54
event11,event16,52
event12,event16,60
event13,event16,55
event14,event16,7
event15,event16,5
event16,event16,0
event17,event16,2
event18,event16,5
event19,event16,5
event20,event16,55
event21,event16,54
event22,event16,58
event23,event16,51
event24,event16,57
event25,event16,61
event26,event16,84
event27,event16,84
event28,event16,56
event29,event16,18
event30,event16,38
event31,event16,65
event32,event16,71
event33,event16,43
event34,event16,65
event35,event16,60
event36,event16,81
event37,event16,45
event38,event16,26
event39,event16,40
event40,event16,71
event41,event16,84
event42,event16,53
event43,event16,33
event44,event16,29
event45,event16,78
event46,event16,69
event47,event16,37
event48,event16,34
event49,event16,66
event0,event17,81
event1,event17,84
event2,event17,80
event3,event17,83
event4,event17,78
event5,event17,78
event6,event17,80
event7,event17,80
event8,event17,83
event9,event17,88
event10,event17,52
event11,event17,50
event12,event17,58
event13,event17,53
event14,event17,8
event15,event17,7
event16,event17,2
event17,event17,0
event18,event17,5
event19,event17,3
event20,event17,55
event21,event17,53
event22,event17,57
event23,event17,50
event24,event17,55
event25,event17,59
event26,event17,82
event27,event17,83
event28,event17,54
event29,event17,16
event30,event17,36
event31,event17,63
event32,event17,69
event33,event17,41
event34,event17,63
event35,event17,58
event36,event17,79
event37,event17,43
event38,event17,25
event39,event17,39
event40,event17,69
event41,event17,82
event42,event17,51
event43,event17,31
event44,event17,27
event45,event17,76
event46,event17,68
event47,event17,36
event48,event17,32
event49,event17,64
event0,event18,83
event1,event18,86
event2,event18,82
event3,event18,84
event4,event18,77
event5,event18,77
event6,event18,79
event7,event18,80
event8,event18,83
event9,event18,87
event10,event18,49
event11,event18,47
event12,event18,55
event13,event18,51
event14,event18,8
event15,event18,9
event16,event18,5
event17,event18,5
event18,event18,0
event19,event18,5
event20,event18,59
event21,event18,56
event22,event18,61
event23,event18,53
event24,event18,59
event25,event18,63
event26,event18,84
event27,event18,85
event28,event18,51
event29,event18,15
event30,event18,33
event31,event18,62
event32,event18,69
event33,event18,43
event34,event18,64
event35,event18,57
event36,event18,77
event37,event18,42
event38,event18,25
event39,event18,42
event40,event18,67
event41,event18,83
event42,event18,50
event43,event18,30
event44,event18,25
event45,event18,75
event46,event18,68
event47,event18,32
event48,event18,31
event49,event18,64
event0,event19,79
event1,event19,82
event2,event19,78
event3,event19,80
event4,event19,75
event5,event19,75
event6,event19,77
event7,event19,77
event8,event19,80
event9,event19,85
event10,event19,49
event11,event19,47
event12,event19,55
event13,event19,51
event14,event19,11
event15,event19,10
event16,event19,5
event17,event19,3
event18,event19,5
event19,event19,0
event20,event19,53
event21,event19,51
event22,event19,55
event23,event19,48
event24,event19,54
event25,event19,58
event26,event19,80
event27,event19,80
event28,event19,52
event29,event19,13
event30,event19,33
event31,event19,60
event32,event19,66
event33,event19,39
event34,event19,60
event35,event19,55
event36,event19,76
event37,event19,40
event38,event19,22
event39,event19,37
event40,event19,66
event41,event19,79
event42,event19,48
event43,event19,28
event44,event19,25
event45,event19,73
event46,event19,65
event47,event19,34
event48,event19,29
event49,event19,61
event0,event20,45
event1,event20,45
event2,event20,48
event3,event20,50
event4,event20,74
event5,event20,71
event6,event20,72
event7,event20,69
event8,event20,72
event9,event20,79
event10,event20,78
event11,event20,73
event12,event20,84
event13,event20,75
event14,event20,62
event15,event20,58
event16,event20,55
event17,event20,55
event18,event20,59
event19,event20,53
event20,event20,0
event21,event20,7
event22,event20,5
event23,event20,12
event24,event20,11
event25,event20,10
event26,event20,45
event27,event20,47
event28,event20,83
event29,event20,50
event30,event20,65
event31,event20,68
event32,event20,57
event33,event20,26
event34,event20,43
event35,event20,69
event36,event20,85
event37,event20,58
event38,event20,43
event39,event20,20
event40,event20,79
event41,event20,63
event42,event20,60
event43,event20,56
event44,event20,62
event45,event20,80
event46,event20,49
event47,event20,80
event48,event20,48
event49,event20,51
event0,event21,40
event1,event21,40
event2,event21,42
event3,event21,45
event4,event21,67
event5,event21,64
event6,event21,65
event7,event21,62
event8,event21,65
event9,event21,72
event10,event21,72
event11,event21,67
event12,event21,78
event13,event21,68
event14,event21,61
event15,event21,57
event16,event21,54
event17,event21,53
event18,event21,56
event19,event21,51
event20,event21,7
event21,event21,0
event22,event21,5
event23,event21,5
event24,event21,5
event25,event21,7
event26,event21,40
event27,event21,42
event28,event21,77
event29,event21,46
event30,event21,60
event31,event21,61
event32,event21,50
event33,event21,20
event34,event21,36
event35,event21,62
event36,event21,78
event37,event21,52
event38,event21,38
event39,event21,15
event40,event21,72
event41,event21,57
event42,event21,54
event43,event21,51
event44,event21,57
event45,event21,73
event46,event21,42
event47,event21,75
event48,event21,43
event49,event21,44
event0,event22,40
event1,event22,40
event2,event22,43
event3,event22,46
event4,event22,70
event5,event22,67
event6,event22,68
event7,event22,65
event8,event22,68
event9,event22,75
event10,event22,77
event11,event22,72
event12,event22,82
event13,event22,73
event14,event22,65
event15,event22,61
event16,event22,58
event17,event22,57
event18,event22,61
event19,event22,55
event20,event22,5
event21,event22,5
event22,event22,0
event23,event22,10
event24,event22,7
event25,event22,5
event26,event22,40
event27,event22,42
event28,event22,82
event29,event22,51
event30,event22,65
event31,event22,65
event32,event22,53
event33,event22,25
event34,event22,39
event35,event22,67
event36,event22,82
event37,event22,57
event38,event22,43
event39,event22,20
event40,event22,76
event41,event22,59
event42,event22,58
event43,event22,56
event44,event22,62
event45,event22,77
event46,event22,45
event47,event22,80
event48,event22,48
event49,event22,47
event0,event23,38
event1,event23,39
event2,event23,40
event3,event23,43
event4,event23,62
event5,event23,59
event6,event23,61
event7,event23,58
event8,event23,60
event9,event23,67
event10,event23,66
event11,event23,62
event12,event23,72
event13,event23,63
event14,event23,58
event15,event23,54
event16,event23,51
event17,event23,50
event18,event23,53
event19,event23,48
event20,event23,12
event21,event23,5
event22,event23,10
event23,event23,0
event24,event23,5
event25,event23,10
event26,event23,38
event27,event23,40
event28,event23,71
event29,event23,42
event30,event23,55
event31,event23,55
event32,event23,45
event33,event23,15
event34,event23,31
event35,event23,57
event36,event23,73
event37,event23,46
event38,event23,33
event39,event23,11
event40,event23,66
event41,event23,53
event42,event23,48
event43,event23,46
event44,event23,52
event45,event23,68
event46,event23,38
event47,event23,70
event48,event23,38
event49,event23,39
event0,event24,35
event1,event24,35
event2,event24,37
event3,event24,40
event4,event24,63
event5,event24,60
event6,event24,61
event7,event24,58
event8,event24,61
event9,event24,68
event10,event24,71
event11,event24,66
event12,event24,76
event13,event24,67
event14,event24,64
event15,event24,60
event16,event24,57
event17,event24,55
event18,event24,59
event19,event24,54
event20,event24,11
event21,event24,5
event22,event24,7
event23,event24,5
event24,event24,0
event25,event24,5
event26,event24,35
event27,event24,37
event28,event24,76
event29,event24,48
event30,event24,60
event31,event24,58
event32,event24,46
event33,event24,20
event34,event24,32
event35,event24,60
event36,event24,75
event37,event24,50
event38,event24,39
event39,event24,17
event40,event24,69
event41,event24,52
event42,event24,52
event43,event24,51
event44,event24,57
event45,event24,70
event46,event24,38
event47,event24,75
event48,event24,43
event49,event24,40
event0,event25,35
event1,event25,35
event2,event25,38
event3,event25,41
event4,event25,67
event5,event25,63
event6,event25,65
event7,event25,61
event8,event25,64
event9,event25,71
event10,event25,76
event11,event25,71
event12,event25,81
event13,event25,72
event14,event25,68
event15,event25,64
event16,event25,61
event17,event25,59
event18,event25,63
event19,event25,58
event20,event25,10
event21,event25,7
event22,event25,5
event23,event25,10
event24,event25,5
event25,event25,0
event26,event25,35
event27,event25,37
event28,event25,81
event29,event25,52
event30,event25,65
event31,event25,62
event32,event25,49
event33,event25,25
event34,event25,35
event35,event25,65
event36,event25,79
event37,event25,55
event38,event25,43
event39,event25,21
event40,event25,73
event41,event25,55
event42,event25,56
event43,event25,56
event44,event25,62
event45,event25,74
event46,event25,41
event47,event25,80
event48,event25,48
event49,event25,43
event0,event26,2
event1,event26,3
event2,event26,7
event3,event26,8
event4,event26,48
event5,event26,43
event6,event26,43
event7,event26,38
event8,event26,39
event9,event26,46
event10,event26,75
event11,event26,70
event12,event26,79
event13,event26,69
event14,event26,91
event15,event26,88
event16,event26,84
event17,event26,82
event18,event26,84
event19,event26,80
event20,event26,45
event21,event26,40
event22,event26,40
event23,event26,38
event24,event26,35
event25,event26,35
event26,event26,0
event27,event26,2
event28,event26,80
event29,event26,70
event30,event26,71
event31,event26,52
event32,event26,32
event33,event26,41
event34,event26,24
event35,event26,57
event36,event26,62
event37,event26,57
event38,event26,59
event39,event26,46
event40,event26,62
event41,event26,28
event42,event26,53
event43,event26,64
event44,event26,73
event45,event26,58
event46,event26,24
event47,event26,90
event48,event26,57
event49,event26,30
event0,event27,2
event1,event27,5
event2,event27,5
event3,event27,5
event4,event27,45
event5,event27,40
event6,event27,41
event7,event27,36
event8,event27,37
event9,event27,43
event10,event27,74
event11,event27,69
event12,event27,77
event13,event27,68
event14,event27,91
event15,event27,89
event16,event27,84
event17,event27,83
event18,event27,85
event19,event27,80
event20,event27,47
event21,event27,42
event22,event27,42
event23,event27,40
event24,event27,37
event25,event27,37
event26,event27,2
event27,event27,0
event28,event27,78
event29,event27,70
event30,event27,70
event31,event27,50
event32,event27,30
event33,event27,42
event34,event27,23
event35,event27,56
event36,event27,60
event37,event27,56
event38,event27,59
event39,event27,47
event40,event27,60
event41,event27,26
event42,event27,52
event43,event27,64
event44,event27,72
event45,event27,56
event46,event27,22
event47,event27,89
event48,event27,57
event49,event27,29
event0,event28,78
event1,event28,82
event2,event28,74
event3,event28,75
event4,event28,43
event5,event28,47
event6,event28,48
event7,event28,52
event8,event28,54
event9,event28,54
event10,event28,5
event11,event28,10
event12,event28,4
event13,event28,10
event14,event28,58
event15,event28,60
event16,event28,56
event17,event28,54
event18,event28,51
event19,event28,52
event20,event28,83
event21,event28,77
event22,event28,82
event23,event28,71
event24,event28,76
event25,event28,81
event26,event28,80
event27,event28,78
event28,event28,0
event29,event28,42
event30,event28,19
event31,event28,30
event32,event28,50
event33,event28,56
event34,event28,56
event35,event28,23
event36,event28,35
event37,event28,25
event38,event28,43
event39,event28,63
event40,event28,26
event41,event28,61
event42,event28,26
event43,event28,28
event44,event28,27
event45,event28,35
event46,event28,55
event47,event28,25
event48,event28,34
event49,event28,49
event0,event29,68
event1,event29,72
event2,event29,67
event3,event29,69
event4,event29,62
event5,event29,62
event6,event29,64
event7,event29,64
event8,event29,67
event9,event29,72
event10,event29,39
event11,event29,36
event12,event29,45
event13,event29,39
event14,event29,23
event15,event29,23
event16,event29,18
event17,event29,16
event18,event29,15
event19,event29,13
event20,event29,50
event21,event29,46
event22,event29,51
event23,event29,42
event24,event29,48
event25,event29,52
event26,event29,70
event27,event29,70
event28,event29,42
event29,event29,0
event30,event29,22
event31,event29,47
event32,event29,54
event33,event29,30
event34,event29,48
event35,event29,43
event36,event29,63
event37,event29,27
event38,event29,10
event39,event29,31
event40,event29,54
event41,event29,67
event42,event29,35
event43,event29,16
event44,event29,15
event45,event29,61
event46,event29,53
event47,event29,30
event48,event29,16
event49,event29,49
event0,event30,69
event1,event30,73
event2,event30,66
event3,event30,68
event4,event30,47
event5,event30,49
event6,event30,51
event7,event30,53
event8,event30,55
event9,event30,58
event10,event30,16
event11,event30,13
event12,event30,22
event13,event30,17
event14,event30,41
event15,event30,42
event16,event30,38
event17,event30,36
event18,event30,33
event19,event30,33
event20,event30,65
event21,event30,60
event22,event30,65
event23,event30,55
event24,event30,60
event25,event30,65
event26,event30,71
event27,event30,70
event28,event30,19
event29,event30,22
event30,event30,0
event31,event30,31
event32,event30,46
event33,event30,40
event34,event30,47
event35,event30,25
event36,event30,45
event37,event30,14
event38,event30,23
event39,event30,45
event40,event30,35
event41,event30,59
event42,event30,21
event43,event30,9
event44,event30,8
event45,event30,43
event46,event30,49
event47,event30,19
event48,event30,17
event49,event30,43
event0,event31,50
event1,event31,55
event2,event31,45
event3,event31,46
event4,event31,15
event5,event31,18
event6,event31,19
event7,event31,22
event8,event31,25
event9,event31,26
event10,event31,26
event11,event31,22
event12,event31,28
event13,event31,19
event14,event31,70
event15,event31,70
event16,event31,65
event17,event31,63
event18,event31,62
event19,event31,60
event20,event31,68
event21,event31,61
event22,event31,65
event23,event31,55
event24,event31,58
event25,event31,62
event26,event31,52
event27,event31,50
event28,event31,30
event29,event31,47
event30,event31,31
event31,event31,0
event32,event31,20
event33,event31,42
event34,event31,30
event35,event31,7
event36,event31,18
event37,event31,20
event38,event31,40
event39,event31,51
event40,event31,11
event41,event31,31
event42,event31,12
event43,event31,32
event44,event31,38
event45,event31,14
event46,event31,28
event47,event31,48
event48,event31,31
event49,event31,22
event0,event32,30
event1,event32,35
event2,event32,25
event3,event32,25
event4,event32,18
event5,event32,14
event6,event32,15
event7,event32,13
event8,event32,15
event9,event32,22
event10,event32,45
event11,event32,41
event12,event32,48
event13,event32,39
event14,event32,77
event15,event32,76
event16,event32,71
event17,event32,69
event18,event32,69
event19,event32,66
event20,event32,57
event21,event32,50
event22,event32,53
event23,event32,45
event24,event32,46
event25,event32,49
event26,event32,32
event27,event32,30
event28,event32,50
event29,event32,54
event30,event32,46
event31,event32,20
event32,event32,0
event33,event32,36
event34,event32,14
event35,event32,26
event36,event32,31
event37,event32,32
event38,event32,44
event39,event32,45
event40,event32,30
event41,event32,13
event42,event32,25
event43,event32,42
event44,event32,50
event45,event32,27
event46,event32,8
event47,event32,65
event48,event32,38
event49,event32,6
event0,event33,40
event1,event33,43
event2,event33,39
event3,event33,42
event4,event33,51
event5,event33,49
event6,event33,51
event7,event33,49
event8,event33,52
event9,event33,58
event10,event33,51
event11,event33,46
event12,event33,57
event13,event33,48
event14,event33,50
event15,event33,47
event16,event33,43
event17,event33,41
event18,event33,43
event19,event33,39
event20,event33,26
event21,event33,20
event22,event33,25
event23,event33,15
event24,event33,20
event25,event33,25
event26,event33,41
event27,event33,42
event28,event33,56
event29,event33,30
event30,event33,40
event31,event33,42
event32,event33,36
event33,event33,0
event34,event33,25
event35,event33,43
event36,event33,60
event37,event33,31
event38,event33,20
event39,event33,9
event40,event33,53
event41,event33,47
event42,event33,34
event43,event33,31
event44,event33,37
event45,event33,56
event46,event33,31
event47,event33,56
event48,event33,23
event49,event33,30
event0,event34,22
event1,event34,26
event2,event34,19
event3,event34,21
event4,event34,32
event5,event34,28
event6,event34,29
event7,event34,26
event8,event34,29
event9,event34,36
event10,event34,51
event11,event34,46
event12,event34,55
event13,event34,45
event14,event34,71
event15,event34,69
event16,event34,65
event17,event34,63
event18,event34,64
event19,event34,60
event20,event34,43
event21,event34,36
event22,event34,39
event23,event34,31
event24,event34,32
event25,event34,35
event26,event34,24
event27,event34,23
event28,event34,56
event29,event34,48
event30,event34,47
event31,event34,30
event32,event34,14
event33,event34,25
event34,event34,0
event35,event34,35
event36,event34,44
event37,event34,33
event38,event34,38
event39,event34,33
event40,event34,41
event41,event34,22
event42,event34,29
event43,event34,41
event44,event34,49
event45,event34,40
event46,event34,6
event47,event34,66
